datetime,demand,gen_cost_marg,gen_cost_tot,co2_marg,co2_tot,so2_marg,so2_tot,nox_marg,nox_tot,biomass_mix,coal_mix,gas_mix,geothermal_mix,hydro_mix,nuclear_mix,oil_mix,marg_gen,coal_mix_marg,marg_gen_fuel_type,mmbtu_coal,mmbtu_gas,mmbtu_oil
2017-03-22 03:00:00,70564.0,29.285317853927612,1675000.249422778,665.8327331542936,45106322.36614671,0.2016927638323954,29232.383715221094,0.45909470319747797,25693.799654410876,0,33931.32278938447,36632.677210615475,0,0,0,0,0,0.5,gas,327846.50641187694,255840.6698746559,0
2017-03-22 04:00:00,66288.0,28.193019050369855,1552584.3182503378,912.5472838589715,41548906.32067684,0.5503854756956299,25707.759892032085,0.48456899329965053,23257.97332408553,0,30435.042621544086,35852.95737845591,0,0,0,0,0,1.0,coal,294109.74894327886,248660.09808251218,0
2017-03-22 05:00:00,61882.0,27.49958579323008,1429748.658721142,884.3076171675779,38600518.60686565,1.4691421037817292,24692.051308191174,0.5158036258256095,21620.810576233675,0,28781.0426215441,33100.95737845591,0,0,0,0,0,1.0,coal,277549.3890522129,227825.34527775602,0
2017-03-22 06:00:00,57831.0,26.30906237756264,1320747.931509507,969.5575458915162,35781059.09728531,1.3647977375358742,22581.837819284596,0.5760021718660195,19278.934105201486,0,26382.010862059877,31448.98913794013,0,0,0,0,0,1.0,coal,254373.22352337278,216139.13055824803,0
2017-03-22 07:00:00,55893.0,25.980429577350616,1270165.9312528786,633.7284039194171,35041598.40271774,0.4195897063579409,22506.216944657925,0.38664962045504225,19221.207379462983,0,26327.732064397092,29565.26793560291,0,0,0,0,0,0.5,gas,253813.64257355258,203395.06669130575,0
2017-03-22 08:00:00,55384.0,25.885335880104332,1256963.2866797994,920.7942126312265,34654395.11113429,1.2468366824926893,22048.077286207183,1.4891408923490699,18792.772307324623,0,26021.529594668416,29362.470405331584,0,0,0,0,0,1.0,coal,250554.70799742098,201966.32971165763,0
2017-03-22 09:00:00,56057.0,25.980429577350616,1274426.7217035643,633.7284039194171,35122063.91702763,0.4195897063579409,22537.49739885132,0.38664962045504225,19251.444557001098,0,26364.805561056335,29692.19443894367,0,0,0,0,0,0.5,gas,254171.69603953845,204261.8508915514,0
2017-03-22 10:00:00,59660.0,26.72557620160476,1369321.7474639998,640.1389600970432,36831666.42767443,0.3957899796850535,23436.56214390213,0.39469607648535304,19836.755511903844,0,26997.762971718177,32662.237028281834,0,0,0,0,0,0.5,gas,260693.92949000996,224554.78289293055,0
2017-03-22 11:00:00,65525.0,28.047030215263366,1531125.0089206102,636.2085285965381,41187658.696679816,0.4226421420896742,25832.485435056293,0.3264061385446331,23163.912109877187,0,30315.241910933237,35209.75808906676,0,0,0,0,0,0.5,gas,292814.2578839886,244238.54552275257,0
2017-03-22 12:00:00,70476.0,29.070198786902797,1672432.312673989,875.7070312499967,45026194.72294598,0.34302002191543346,29191.881716096064,0.8992676138877855,25502.050280831067,0,33892.04262154403,36583.95737845591,0,0,0,0,0,1.0,coal,327304.0689509331,255358.5910362895,0
2017-03-22 13:00:00,71027.0,29.374761068352196,1688597.8558787724,818.119873046875,45435750.44716701,0.40077996253967285,29392.52001064196,0.5455343723297119,25921.063331977395,0,34251.90029881889,36775.09970118106,0,0,0,0,0,1.0,coal,330664.29954995826,257037.2234037714,0
2017-03-22 14:00:00,70232.0,29.070198786902797,1665339.1841699851,875.7070312499967,44804548.90364987,0.34302002191543346,29108.078542252922,0.8992676138877855,25311.508417003384,0,33648.04262154404,36583.95737845591,0,0,0,0,0,1.0,coal,324922.739591395,255358.5910362895,0
2017-03-22 15:00:00,70889.0,29.374761068352196,1682471.4086183275,818.119873046875,45305996.43531547,0.40077996253967285,29320.23252634485,0.5455343723297119,25823.47045486943,0,34071.30649453768,36817.69350546233,0,0,0,0,0,1.0,coal,329076.92686314246,257371.0979455307,0
